,team,name
0,detonationfocusme,DetonatioN FocusMe
1,splyce,Splyce
2,clutchgaming,Clutch Gaming
3,unicornsoflove,Unicorns of Love
4,mammoth,Mammoth
5,isurusgaming,Isurus Gaming
6,royalyouth,Royal Youth
7,damwongaming,Damwon Gaming
8,megaesports,MEGA Esports
9,hongkongattitude,Hong Kong Attitude
10,flamengo,Flamengo
11,lowkeyesports,Lowkey Esports
12,fnatic,Fnatic
13,sktelecomt1,SK Telecom T1
14,royalnevergiveup,Royal Never Give Up
15,invictusgaming,Invictus Gaming
16,ahqe-sportsclub,AHQ e-Sports Club
17,teamliquid,Team Liquid
18,jteam,J Team
19,funplusphoenix,Funplus Phoenix
20,gamesports,GAM Esports
21,griffin,Griffin
22,g2esports,G2 Esports
23,cloud9,Cloud9
